Tabela 20,,,,,,,
Tempo Médio das Viagem Produzidas por Tipo de Viagem e Zona de Origem – 2017,,,,,,,rev. 15/04/2021
Região Metropolitana de São Paulo,,,,,,,
Pesquisa Origem e Destino 2017,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,
,,,,,,,
Zona de,Tempo Médio de Viagem(minutos) por Tipo,,,,,,
 Origem , Coletivo , Individual , A pé , Bicicleta ,,,
376,  48 ,  29 ,  13 ,  10 ,,,
377,  60 ,  25 ,  12 ,  40 ,,,
378,  60 ,  33 ,  11 ,  45 ,,,
379,  39 ,  21 ,  10 ,  10 ,,,
380,  45 ,  21 ,  13 ,  10 ,,,
381,  -   ,  -   ,  -   ,  -   ,,,
382,  43 ,  20 ,  12 ,  22 ,,,
383,  41 ,  22 ,  9 ,  -   ,,,
384,  58 ,  30 ,  10 ,  -   ,,,
385,  -   ,  60 ,  45 ,  -   ,,,
386,  55 ,  37 ,  13 ,  10 ,,,
387,  52 ,  27 ,  13 ,  27 ,,,
388,  43 ,  24 ,  11 ,  30 ,,,
389,  48 ,  20 ,  12 ,  29 ,,,
390,  35 ,  25 ,  13 ,  17 ,,,
391,  64 ,  21 ,  10 ,  -   ,,,
392,  78 ,  -   ,  -   ,  -   ,,,
393,  72 ,  24 ,  13 ,  20 ,,,
394,  73 ,  34 ,  9 ,  25 ,,,
395,  54 ,  22 ,  15 ,  23 ,,,
396,  71 ,  20 ,  13 ,  24 ,,,
397,  50 ,  25 ,  15 ,  24 ,,,
398,  72 ,  23 ,  13 ,  26 ,,,
399,  66 ,  32 ,  11 ,  30 ,,,
400,  69 ,  32 ,  10 ,  23 ,,,
401,  51 ,  21 ,  16 ,  23 ,,,
402,  59 ,  38 ,  13 ,  32 ,,,
403,  59 ,  27 ,  11 ,  22 ,,,
404,  53 ,  16 ,  15 ,  22 ,,,
405,  58 ,  22 ,  19 ,  28 ,,,
406,  52 ,  21 ,  20 ,  27 ,,,
407,  56 ,  18 ,  13 ,  31 ,,,
408,  63 ,  29 ,  18 ,  30 ,,,
409,  68 ,  27 ,  13 ,  -   ,,,
410,  69 ,  21 ,  15 ,  91 ,,,
411,  49 ,  21 ,  8 ,  20 ,,,
412,  51 ,  26 ,  17 ,  20 ,,,
413,  50 ,  31 ,  12 ,  40 ,,,
414,  37 ,  22 ,  17 ,  31 ,,,
415,  90 ,  21 ,  10 ,  18 ,,,
416,  32 ,  30 ,  13 ,  17 ,,,
417,  53 ,  18 ,  14 ,  11 ,,,
418,  53 ,  20 ,  15 ,  -   ,,,
419,  49 ,  22 ,  15 ,  13 ,,,
420,  53 ,  30 ,  14 ,  28 ,,,
421,  61 ,  34 ,  13 ,  16 ,,,
422,  54 ,  24 ,  15 ,  74 ,,,
423,  42 ,  27 ,  15 ,  -   ,,,
424,  59 ,  24 ,  16 ,  -   ,,,
425,  64 ,  19 ,  10 ,  20 ,,,
426,  54 ,  21 ,  17 ,  8 ,,,
427,  56 ,  24 ,  15 ,  -   ,,,
